trial,time,cursor_x_pix,cursor_y_pix,gaze_x,gaze_y,cursor_x_cm,cursor_y_cm,target_x,target_y
2,42.08382201194763,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.091185092926025,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.098848819732666,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.10485887527466,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.11199450492859,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.118815422058105,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.12589120864868,-301.0,-246.0,-7.019414062500001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.13289284706116,-302.0,-246.0,-7.042734375000001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.13902544975281,-302.0,-246.0,-7.042734375000001,-5.757083333333334,-123.0,-342.300048828125,365.0,262.0
2,42.14675688743591,-304.0,-247.0,-7.089375,-5.780486111111111,-123.0,-342.300048828125,365.0,262.0
2,42.153478145599365,-305.0,-248.0,-7.1126953125000005,-5.803888888888889,-123.0,-342.300048828125,365.0,262.0
2,42.159844636917114,-307.0,-248.0,-7.159335937500001,-5.803888888888889,-123.0,-342.300048828125,365.0,262.0
2,42.166696071624756,-308.0,-249.0,-7.182656250000001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.17368721961975,-309.0,-249.0,-7.205976562500001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.1812207698822,-309.0,-249.0,-7.205976562500001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.18841052055359,-309.0,-249.0,-7.205976562500001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.19533824920654,-309.0,-249.0,-7.205976562500001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.20199179649353,-309.0,-249.0,-7.205976562500001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.20898699760437,-308.0,-249.0,-7.182656250000001,-5.827291666666667,-123.0,-342.300048828125,365.0,262.0
2,42.215691566467285,-307.0,-250.0,-7.159335937500001,-5.850694444444445,-123.0,-342.300048828125,365.0,262.0
2,42.22282433509827,-305.0,-250.0,-7.1126953125000005,-5.850694444444445,-123.0,-342.300048828125,365.0,262.0
2,42.22970747947693,-302.0,-250.0,-7.042734375000001,-5.850694444444445,-123.0,-342.300048828125,365.0,262.0
2,42.23740077018738,-296.0,-250.0,-6.9028125000000005,-5.850694444444445,-123.0,-342.300048828125,365.0,262.0
2,42.24374747276306,-288.0,-250.0,-6.7162500000000005,-5.850694444444445,-123.0,-342.300048828125,365.0,262.0
2,42.250749588012695,-275.0,-251.0,-6.413085937500001,-5.874097222222223,-123.0,-342.300048828125,365.0,262.0
2,42.25776553153992,-257.0,-253.0,-5.993320312500001,-5.920902777777778,-123.0,-342.300048828125,365.0,262.0
2,42.264747619628906,-238.0,-256.0,-5.5502343750000005,-5.9911111111111115,-123.0,-342.300048828125,365.0,262.0
2,42.2716965675354,-212.0,-260.0,-4.94390625,-6.084722222222223,-123.0,-342.300048828125,365.0,262.0
2,42.27870059013367,-186.0,-264.0,-4.337578125,-6.178333333333334,-123.0,-342.300048828125,365.0,262.0
2,42.285712480545044,-160.0,-269.0,-3.73125,-6.295347222222222,-123.0,-342.300048828125,365.0,262.0
